,total_population,median_household_income,population_below_poverty,renter_occupied_units,total_occupied_units,white_population,black_population,hispanic_population,county_fips,tract_code,prop_poverty,prop_renter,prop_nonwhite
172,1931,68189,189,173,723,1226,257,234,005,420402,0.09787674779906784,0.2392807745504841,0.3650958052822372
173,3839,80783,398,456,1420,2637,167,700,005,420500,0.10367283146652774,0.3211267605633803,0.3131023704089607
174,4704,90100,930,326,1288,2663,841,706,005,420600,0.19770408163265307,0.2531055900621118,0.43388605442176875
175,3227,36429,983,697,1272,2014,262,740,005,420701,0.3046172916021072,0.5479559748427673,0.37589092035946703
176,2548,61667,690,176,804,1433,140,791,005,420702,0.2708006279434851,0.21890547263681592,0.4375981161695447
177,3182,61757,225,190,1322,2530,59,128,005,420800,0.07071024512884978,0.1437216338880484,0.20490257699560022
178,3878,55208,850,651,1459,2151,933,557,005,420900,0.21918514698298092,0.44619602467443453,0.4453326456936565
179,3000,53367,407,575,1244,2125,441,148,005,421101,0.13566666666666666,0.4622186495176849,0.29166666666666663
180,2621,60330,628,375,1089,1864,215,463,005,421102,0.2396032048836322,0.3443526170798898,0.2888210606638687
181,5212,55438,1274,1248,1923,2105,1959,774,005,430101,0.2444359171143515,0.6489859594383776,0.5961243284727552
182,3008,70855,431,735,1298,512,2474,10,005,402505,0.1432845744680851,0.5662557781201849,0.8297872340425532
183,2549,157917,38,62,1098,2223,33,16,005,408900,0.01490780698313064,0.056466302367941715,0.12789329148685757
184,4838,128000,234,183,1582,3239,696,166,005,411409,0.04836709384042993,0.11567635903919089,0.3305084745762712
185,2972,153333,94,52,1066,2736,41,71,005,411201,0.031628532974428,0.04878048780487805,0.07940780619111709
186,3814,97216,160,320,1493,2707,807,52,005,492002,0.04195070791819612,0.2143335565974548,0.29024646040901936
187,1362,175096,17,26,571,1158,135,8,005,403801,0.012481644640234948,0.04553415061295972,0.14977973568281944
188,5246,102171,652,281,1805,609,4113,84,005,402504,0.124285169653069,0.1556786703601108,0.8839115516584064
189,6525,120309,342,471,2712,4612,613,324,005,401503,0.05241379310344828,0.1736725663716814,0.29318007662835244
190,4243,69435,965,288,1274,2931,519,209,005,452500,0.22743341975017675,0.2260596546310832,0.30921517794013664
191,6358,97348,1374,1397,2088,4225,1722,68,005,403702,0.21610569361434415,0.6690613026819924,0.3354828562441019
192,2417,78906,356,225,834,1759,448,8,005,450400,0.14729002896152255,0.2697841726618705,0.27223831195697146
193,3324,133929,61,99,1440,2977,185,67,005,403803,0.018351383874849577,0.06875,0.1043922984356197
194,2234,115000,159,124,890,2120,17,21,005,411101,0.0711727842435094,0.1393258426966292,0.051029543419874646
195,5906,123272,259,756,2455,3228,1711,343,005,451701,0.043853708093464276,0.3079429735234216,0.45343718252624454
196,2267,123646,148,30,889,1815,98,62,005,430600,0.06528451698279665,0.03374578177727784,0.19938244375827086
197,5909,119936,372,408,2234,2611,1718,477,005,411306,0.06295481468945677,0.18263205013428827,0.5581316635640549
198,1923,190714,58,130,736,1531,29,71,005,408200,0.03016120644825793,0.1766304347826087,0.20384815392615707
199,2542,47182,323,655,1001,270,2116,89,005,402305,0.12706530291109364,0.6543456543456544,0.8937844217151849
200,5556,131121,192,427,2034,4762,159,249,005,408502,0.03455723542116631,0.20993117010816126,0.14290856731461488
201,3448,196008,213,310,1445,2947,20,234,005,490500,0.06177494199535963,0.21453287197231835,0.14530162412993042
202,6481,125812,576,326,2431,3791,1701,184,005,404402,0.08887517358432341,0.13410119292472233,0.41505940441289924
203,3363,113843,192,80,1245,3185,63,38,005,411102,0.057091882247992866,0.0642570281124498,0.052928932500743375
204,6046,175923,111,42,2173,5603,4,124,005,410100,0.01835924578233543,0.019328117809479982,0.07327158451869009
205,2106,85956,94,114,872,1522,351,67,005,492102,0.0446343779677113,0.13073394495412843,0.27730294396961064
206,2241,115952,127,42,886,1062,828,48,005,441101,0.05667112896028559,0.04740406320541761,0.5261044176706827
207,4368,105393,344,95,1693,3455,277,139,005,411406,0.07875457875457875,0.05611340815121087,0.20902014652014655
208,1602,141442,101,33,623,866,475,71,005,402202,0.06304619225967541,0.052969502407704656,0.45942571785268416
209,1962,24589,633,700,1060,1199,528,154,005,421000,0.32262996941896027,0.660377358490566,0.38888888888888884
210,3688,75815,420,246,1335,2437,163,629,005,450100,0.113882863340564,0.1842696629213483,0.33920824295010843
211,4957,62166,598,2124,2335,1375,2388,775,005,408506,0.12063748234819448,0.9096359743040685,0.7226144845672786
212,3765,71331,337,644,1497,2275,959,183,005,492600,0.0895086321381142,0.4301937207748831,0.39575033200531207
213,1773,103190,156,198,762,1092,319,122,005,491202,0.08798646362098139,0.25984251968503935,0.38409475465313025
214,4309,100128,423,390,1706,3102,366,399,005,430400,0.09816662798793223,0.22860492379835873,0.28011139475516356
215,3492,83662,466,845,1395,1672,1051,173,005,491300,0.13344788087056128,0.6057347670250897,0.5211912943871706
216,4111,70529,428,722,1748,2738,566,174,005,491701,0.10411092191680857,0.41304347826086957,0.3339819995135004
217,1224,69390,139,172,542,879,289,0,005,492001,0.11356209150326797,0.3173431734317343,0.2818627450980392
218,5128,61408,510,1865,2190,402,4209,229,005,491401,0.09945397815912636,0.8515981735159818,0.921606864274571
219,2712,59545,451,309,1112,1307,980,129,005,491600,0.16629793510324484,0.2778776978417266,0.5180678466076696
220,3257,74167,397,286,1098,982,1980,0,005,491402,0.12189131102241327,0.2604735883424408,0.6984955480503531
221,4152,79938,267,577,1830,2110,1428,532,005,491500,0.06430635838150289,0.3153005464480874,0.4918111753371869
222,1961,90385,174,92,752,1496,90,181,005,491900,0.0887302396736359,0.12234042553191489,0.23712391636919938
223,3834,81009,217,709,1679,2656,837,128,005,492101,0.056598852373500264,0.42227516378796903,0.30725091288471573
224,5147,128720,312,255,1983,4074,118,476,005,430700,0.060617835632407226,0.12859304084720122,0.20847095395375947
225,4689,105144,333,505,1423,352,3942,135,005,492401,0.0710172744721689,0.35488404778636684,0.9249306888462359
226,4908,28352,909,1227,1592,2149,463,561,510,120202,0.1852078239608802,0.7707286432160804,0.5621434392828035
227,3215,71451,258,516,1239,2431,493,202,510,272005,0.080248833592535,0.41646489104116224,0.24385692068429243
228,1962,102083,237,424,875,1313,251,186,510,120201,0.12079510703363915,0.4845714285714286,0.33078491335372073
229,4113,72558,254,1061,1774,2632,1087,232,510,272004,0.06175540967663506,0.5980834272829764,0.3600778020909312
230,3793,41394,659,1042,1593,1519,1781,191,510,272006,0.17374110203005536,0.6541117388575016,0.5995254416029527
231,2620,13036,1154,849,891,187,2346,1,510,280500,0.4404580152671756,0.9528619528619529,0.9286259541984733
232,2861,85893,317,518,1117,1630,560,22,005,400200,0.11080041943376442,0.4637421665174575,0.4302691366655016
233,6158,37273,1425,1934,2805,665,5104,143,510,260202,0.23140630074699578,0.6894830659536542,0.8920103929847353
234,2912,62107,649,591,1019,135,2526,0,510,260203,0.22287087912087913,0.5799803729146222,0.9536401098901099
235,4195,44297,1322,611,1403,291,3793,14,510,260301,0.31513706793802143,0.4354953670705631,0.9306317044100119
236,6247,51484,1616,666,2526,184,5894,0,510,260302,0.2586841684008324,0.26365795724465557,0.9705458620137666
237,2391,40298,703,469,1049,1086,0,1070,510,260401,0.2940192388122125,0.4470924690181125,0.5457967377666249
238,1292,50962,50,590,772,111,1176,0,510,260403,0.03869969040247678,0.7642487046632125,0.9140866873065016
239,4466,74403,398,618,1629,2210,537,1490,510,260501,0.08911777877295118,0.37937384898710863,0.5051500223914017
240,1281,51932,349,488,717,70,910,275,510,260303,0.2724434035909446,0.6806136680613668,0.9453551912568307
241,3937,119297,354,423,1577,3419,189,18,005,430800,0.08991617983235967,0.2682308180088776,0.1315722631445263
242,3443,91083,496,132,1338,801,2171,150,510,090200,0.14406041243101947,0.09865470852017937,0.7673540516990996
243,4955,63371,1643,1124,2075,752,4029,57,510,090300,0.33158425832492433,0.5416867469879518,0.848234106962664
244,1147,36680,317,466,617,151,854,86,510,090400,0.2763731473408893,0.7552674230145867,0.8683522231909329
245,1426,55500,321,267,570,246,993,0,510,090500,0.22510518934081347,0.46842105263157896,0.8274894810659187
246,2696,58897,518,462,833,43,2574,10,510,090600,0.19213649851632048,0.5546218487394958,0.9840504451038575
247,2849,36859,1067,430,960,11,2769,0,510,090700,0.3745173745173745,0.4479166666666667,0.9961389961389961
248,2437,82583,202,347,1068,1492,570,107,005,440200,0.08288879770209273,0.3249063670411985,0.3877718506360279
249,2025,68125,165,506,981,837,449,53,005,440300,0.08148148148148149,0.5158002038735984,0.5866666666666667
250,6062,85047,349,235,2326,3471,1722,563,005,440400,0.05757175849554602,0.10103181427343078,0.4274166941603431
251,4475,76438,416,908,1821,2322,1111,229,005,430900,0.09296089385474861,0.4986271279516749,0.4811173184357542
252,4293,103343,69,99,1626,3790,235,92,005,440100,0.01607267645003494,0.06088560885608856,0.11716748194735616
253,3314,43882,587,1007,1271,69,3207,38,510,260402,0.17712733856366927,0.7922895357985837,0.9791792395896198
254,1556,33750,483,308,440,678,127,718,510,260404,0.31041131105398456,0.7,0.56426735218509
